Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,Total_Quantity,Current_Price
7985-1,City of Atlantis,2011,Atlantis,Action/Adventure,,Normal,Box,2,Retail,686.0,5.0,3362.0,4.3,4.0,174.99
8070-1,Super Car,2011,Technic,Technical,,Normal,Box,6,Retail,1281.0,,5805.0,4.3,4.0,219.0
8071-1,Bucket Truck,2011,Technic,Technical,,Normal,Box,6,Retail,593.0,,2500.0,3.7,1.0,72.0
8109-1,Flatbed Truck,2011,Technic,Technical,,Normal,Box,6,Retail,1115.0,,3871.0,4.1,1.0,250.0
8110-1,Mercedes-Benz Unimog U 400,2011,Technic,Technical,Licensed,Normal,Box,7,Retail,2048.0,,8335.0,4.4,4.0,259.95
8200-1,Radiator Springs Lightning McQueen,2011,Cars,Licensed,Original Film,Normal,Box,2,{Not specified},35.0,1.0,4897.0,3.4,3.0,35.0
8201-1,Radiator Springs Classic Mater,2011,Cars,Licensed,Original Film,Normal,Box,2,Retail,52.0,,5648.0,3.7,8.0,35.0
8301-1,Urban Enforcer,2011,Racers,Racing,Tiny Turbos,Normal,Canister,1,Retail,45.0,,1872.0,3.6,1.0,9.99
8302-1,Rod Rider,2011,Racers,Racing,Tiny Turbos,Normal,Canister,1,Retail,48.0,,1956.0,3.7,1.0,9.99
8304-1,Smokin' Slickster,2011,Racers,Racing,Tiny Turbos,Normal,Canister,1,Retail,44.0,,1453.0,3.9,2.0,8.0
8424-1,Mater's Spy Zone,2011,Cars,Licensed,Cars 2,Normal,Box,2,{Not specified},114.0,1.0,3000.0,3.1,2.0,30.0
8426-1,Escape at Sea,2011,Cars,Licensed,Cars 2,Normal,Box,1,{Not specified},159.0,3.0,2816.0,3.4,4.0,45.99
8484-1,Ultimate Build Lightning McQueen,2011,Cars,Licensed,Cars 2,Normal,Box,2,{Not specified},242.0,1.0,2148.0,3.8,2.0,150.0
8486-1,Mack's Team Truck,2011,Cars,Licensed,Original Film,Normal,Box,4,{Not specified},374.0,1.0,2877.0,4.1,2.0,118.75
8487-1,Flo's V8 Cafe,2011,Cars,Licensed,Original Film,Normal,Box,2,{Not specified},517.0,6.0,2793.0,3.9,4.0,199.99
8638-1,Spy Jet Escape,2011,Cars,Licensed,Cars 2,Normal,Box,2,{Not specified},339.0,6.0,1871.0,3.9,3.0,60.0
8639-1,Big Bentley Bust Out,2011,Cars,Licensed,Cars 2,Normal,Box,4,{Not specified},743.0,7.0,2223.0,3.6,2.0,83.7
8677-1,Ultimate Build Mater,2011,Cars,Licensed,Cars 2,Normal,Box,2,{Not specified},288.0,,1957.0,3.9,2.0,60.97
8678-1,Ultimate Build Francesco,2011,Cars,Licensed,Cars 2,Normal,Box,2,{Not specified},196.0,1.0,1140.0,3.2,2.0,45.5
